route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"1-S40-W-j24-1","TA+bqo00","11.TA.1-S40-W-j24-1.7.R","1-S40-W-j24-1.7.R","St. Andrä-Wördern Bahnhof","S 21005","1",""
"1-S40-W-j24-1","TA+5c420","110.TA.1-S40-W-j24-1.24.R","1-S40-W-j24-1.24.R","Wien Franz-Josefs-Bahnhof","S 21007","1",""
"1-S40-W-j24-1","TA+6bg10","111.TA.1-S40-W-j24-1.24.R","1-S40-W-j24-1.24.R","Wien Franz-Josefs-Bahnhof","S 21009","1",""
"1-S40-W-j24-1","TA+w6","112.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21009","1",""
"1-S40-W-j24-1","TA+ioo00","113.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21027","1",""
"1-S40-W-j24-1","TA+ioo00","114.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21071","1",""
"1-S40-W-j24-1","TA+bqo00","115.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21055","1",""
"1-S40-W-j24-1","TA+ioo00","116.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21079","1",""
"1-S40-W-j24-1","TA+fno00","117.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21067","1",""
"1-S40-W-j24-1","TA+bqo00","118.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21059","1",""
"1-S40-W-j24-1","TA+bqo00","119.TA.1-S40-W-j24-1.25.R","1-S40-W-j24-1.25.R","St. Andrä-Wördern Bahnhof","S 21123","1",""
"1-S40-W-j24-1","TA+bqo00","12.TA.1-S40-W-j24-1.7.R","1-S40-W-j24-1.7.R","St. Andrä-Wördern Bahnhof","S 21007","1",""
"1-S40-W-j24-1","TA+bqo00","120.TA.1-S40-W-j24-1.26.R","1-S40-W-j24-1.26.R","St. Andrä-Wördern Bahnhof","S 21019","1",""
"1-S40-W-j24-1","TA+cgr00","121.TA.1-S40-W-j24-1.27.R","1-S40-W-j24-1.27.R","St. Andrä-Wördern Bahnhof","S 21015","1",""
"1-S40-W-j24-1","TA+bqo00","122.TA.1-S40-W-j24-1.28.R","1-S40-W-j24-1.28.R","St. Andrä-Wördern Bahnhof","S 21015","1",""
"1-S40-W-j24-1","TA+fno00","123.TA.1-S40-W-j24-1.28.R","1-S40-W-j24-1.28.R","St. Andrä-Wördern Bahnhof","S 21023","1",""
"1-S40-W-j24-1","TA+ioo00","124.TA.1-S40-W-j24-1.28.R","1-S40-W-j24-1.28.R","St. Andrä-Wördern Bahnhof","S 21075","1",""
"1-S40-W-j24-1","TA+cgr00","125.TA.1-S40-W-j24-1.29.R","1-S40-W-j24-1.29.R","St. Andrä-Wördern Bahnhof","S 21019","1",""
"1-S40-W-j24-1","TA+cro00","126.TA.1-S40-W-j24-1.30.R","1-S40-W-j24-1.30.R","St. Andrä-Wördern Bahnhof","S 21095","1",""
"1-S40-W-j24-1","TA+w6","127.TA.1-S40-W-j24-1.31.R","1-S40-W-j24-1.31.R","St. Andrä-Wördern Bahnhof","S 21005","1",""
"1-S40-W-j24-1","TA+cro00","128.TA.1-S40-W-j24-1.32.R","1-S40-W-j24-1.32.R","St. Andrä-Wördern Bahnhof","S 21005","1",""
"1-S40-W-j24-1","TA+w6","129.TA.1-S40-W-j24-1.33.R","1-S40-W-j24-1.33.R","St. Andrä-Wördern Bahnhof","S 21013","1",""
"1-S40-W-j24-1","TA+fno00","13.TA.1-S40-W-j24-1.8.R","1-S40-W-j24-1.8.R","Wien Franz-Josefs-Bahnhof","S 25249","1",""
"1-S40-W-j24-1","TA+w6","130.TA.1-S40-W-j24-1.34.R","1-S40-W-j24-1.34.R","St. Andrä-Wördern Bahnhof","S 21027","1",""
"1-S40-W-j24-1","TA+fno00","131.TA.1-S40-W-j24-1.34.R","1-S40-W-j24-1.34.R","St. Andrä-Wördern Bahnhof","S 21051","1",""
"1-S40-W-j24-1","TA+fno00","132.TA.1-S40-W-j24-1.34.R","1-S40-W-j24-1.34.R","St. Andrä-Wördern Bahnhof","S 21031","1",""
